recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,history_discount,history_bogo,recency_history,recency_bin_0,recency_bin_1,recency_bin_2,treatment
12,46.83,0,1,Surburban,1,Web,No Offer,0,0.0,46.83,561.96,0.0,0.0,1.0,0
2,740.96,1,1,Urban,1,Phone,Discount,1,740.96,740.96,1481.92,1.0,0.0,0.0,1
8,130.79,1,0,Surburban,1,Web,Discount,0,130.79,0.0,1046.32,0.0,0.0,1.0,1
8,87.14,1,0,Surburban,0,Phone,No Offer,0,87.14,0.0,697.12,0.0,0.0,1.0,0
9,45.56,1,0,Rural,0,Web,Discount,1,45.56,0.0,410.04,0.0,0.0,1.0,1
10,298.67,1,0,Surburban,1,Phone,Buy One Get One,0,298.67,0.0,2986.7000000000003,0.0,0.0,1.0,1
2,57.57,1,0,Urban,0,Web,No Offer,0,57.57,0.0,115.14,1.0,0.0,0.0,0
7,251.25,0,1,Surburban,1,Web,Buy One Get One,1,0.0,251.25,1758.75,0.0,1.0,0.0,1
10,229.98,1,0,Urban,0,Web,Buy One Get One,0,229.98,0.0,2299.7999999999997,0.0,0.0,1.0,1
11,252.63,1,0,Urban,0,Multichannel,No Offer,0,252.63,0.0,2778.93,0.0,0.0,1.0,0
11,136.57,1,0,Rural,0,Phone,Discount,1,136.57,0.0,1502.27,0.0,0.0,1.0,1
11,67.42,1,0,Urban,0,Web,Buy One Get One,0,67.42,0.0,741.62,0.0,0.0,1.0,1
2,49.63,0,1,Surburban,0,Phone,Discount,0,0.0,49.63,99.26,1.0,0.0,0.0,1
10,395.73,1,1,Surburban,1,Multichannel,Buy One Get One,1,395.73,395.73,3957.3,0.0,0.0,1.0,1
10,102.32,0,1,Surburban,0,Web,Buy One Get One,1,0.0,102.32,1023.1999999999999,0.0,0.0,1.0,1
1,29.99,1,0,Surburban,0,Web,Buy One Get One,0,29.99,0.0,29.99,1.0,0.0,0.0,1
2,407.91,1,1,Surburban,0,Web,No Offer,1,407.91,407.91,815.82,1.0,0.0,0.0,0
7,131.08,0,1,Urban,0,Web,Buy One Get One,1,0.0,131.08,917.5600000000001,0.0,1.0,0.0,1
11,622.07,0,1,Rural,1,Multichannel,Discount,0,0.0,622.07,6842.77,0.0,0.0,1.0,1
10,94.67,1,0,Urban,0,Phone,Buy One Get One,0,94.67,0.0,946.7,0.0,0.0,1.0,1
10,198.18,0,1,Rural,0,Phone,Buy One Get One,1,0.0,198.18,1981.8000000000002,0.0,0.0,1.0,1
8,257.71,0,1,Surburban,0,Web,Discount,0,0.0,257.71,2061.68,0.0,0.0,1.0,1
1,211.86,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,211.86,211.86,1.0,0.0,0.0,1
8,177.29,1,0,Surburban,0,Phone,No Offer,0,177.29,0.0,1418.32,0.0,0.0,1.0,0
1,29.99,0,1,Urban,0,Web,Buy One Get One,0,0.0,29.99,29.99,1.0,0.0,0.0,1
2,29.99,0,1,Urban,1,Phone,No Offer,0,0.0,29.99,59.98,1.0,0.0,0.0,0
4,238.94,1,0,Urban,1,Web,Discount,0,238.94,0.0,955.76,0.0,1.0,0.0,1
1,319.65,1,1,Surburban,1,Web,Discount,1,319.65,319.65,319.65,1.0,0.0,0.0,1
2,138.76,0,1,Urban,1,Phone,No Offer,0,0.0,138.76,277.52,1.0,0.0,0.0,0
10,29.99,0,1,Surburban,1,Web,No Offer,0,0.0,29.99,299.9,0.0,0.0,1.0,0
10,195.26,1,0,Urban,0,Web,No Offer,1,195.26,0.0,1952.6,0.0,0.0,1.0,0
10,158.52,0,1,Surburban,1,Web,Discount,1,0.0,158.52,1585.2,0.0,0.0,1.0,1
5,91.1,0,1,Surburban,0,Phone,Buy One Get One,0,0.0,91.1,455.5,0.0,1.0,0.0,1
3,410.57,1,0,Urban,1,Multichannel,No Offer,1,410.57,0.0,1231.71,0.0,1.0,0.0,0
6,939.44,1,1,Urban,1,Web,Buy One Get One,0,939.44,939.44,5636.64,0.0,1.0,0.0,1
4,166.13,0,1,Surburban,1,Web,No Offer,1,0.0,166.13,664.52,0.0,1.0,0.0,0
2,853.34,1,1,Surburban,1,Web,No Offer,0,853.34,853.34,1706.68,1.0,0.0,0.0,0
9,29.99,0,1,Rural,1,Phone,Discount,1,0.0,29.99,269.90999999999997,0.0,0.0,1.0,1
4,147.2,1,0,Rural,1,Web,No Offer,0,147.2,0.0,588.8,0.0,1.0,0.0,0
9,185.15,0,1,Urban,0,Web,Discount,0,0.0,185.15,1666.3500000000001,0.0,0.0,1.0,1
9,199.62,0,1,Urban,1,Phone,Discount,0,0.0,199.62,1796.58,0.0,0.0,1.0,1
9,124.46,0,1,Surburban,1,Web,Discount,0,0.0,124.46,1120.1399999999999,0.0,0.0,1.0,1
10,105.8,0,1,Urban,1,Web,No Offer,0,0.0,105.8,1058.0,0.0,0.0,1.0,0
2,93.1,0,1,Rural,0,Phone,Buy One Get One,0,0.0,93.1,186.2,1.0,0.0,0.0,1
9,29.99,1,0,Surburban,1,Phone,Buy One Get One,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
5,192.51,1,0,Surburban,1,Phone,No Offer,0,192.51,0.0,962.55,0.0,1.0,0.0,0
1,296.9,1,1,Surburban,1,Phone,No Offer,1,296.9,296.9,296.9,1.0,0.0,0.0,0
2,29.99,0,1,Urban,1,Phone,No Offer,0,0.0,29.99,59.98,1.0,0.0,0.0,0
8,31.1,1,0,Urban,1,Web,Buy One Get One,0,31.1,0.0,248.8,0.0,0.0,1.0,1
9,140.91,1,0,Surburban,1,Phone,No Offer,0,140.91,0.0,1268.19,0.0,0.0,1.0,0
2,845.74,1,0,Surburban,1,Web,Buy One Get One,0,845.74,0.0,1691.48,1.0,0.0,0.0,1
10,108.63,1,0,Urban,1,Web,Discount,0,108.63,0.0,1086.3,0.0,0.0,1.0,1
5,81.48,1,0,Rural,0,Web,Buy One Get One,1,81.48,0.0,407.40000000000003,0.0,1.0,0.0,1
10,49.59,1,0,Rural,0,Phone,Discount,0,49.59,0.0,495.90000000000003,0.0,0.0,1.0,1
10,47.61,0,1,Surburban,1,Web,No Offer,0,0.0,47.61,476.1,0.0,0.0,1.0,0
1,78.63,0,1,Surburban,1,Phone,Discount,0,0.0,78.63,78.63,1.0,0.0,0.0,1
1,617.18,0,1,Urban,1,Phone,No Offer,0,0.0,617.18,617.18,1.0,0.0,0.0,0
1,248.08,1,1,Urban,0,Web,No Offer,0,248.08,248.08,248.08,1.0,0.0,0.0,0
2,914.07,1,1,Surburban,1,Phone,Discount,1,914.07,914.07,1828.14,1.0,0.0,0.0,1
9,29.99,0,1,Urban,1,Phone,No Offer,0,0.0,29.99,269.90999999999997,0.0,0.0,1.0,0
7,414.48,0,1,Urban,0,Multichannel,Discount,0,0.0,414.48,2901.36,0.0,1.0,0.0,1
10,504.22,1,0,Urban,1,Multichannel,Buy One Get One,0,504.22,0.0,5042.200000000001,0.0,0.0,1.0,1
8,71.79,0,1,Surburban,0,Phone,Buy One Get One,1,0.0,71.79,574.32,0.0,0.0,1.0,1
10,73.27,0,1,Surburban,1,Web,No Offer,0,0.0,73.27,732.6999999999999,0.0,0.0,1.0,0
2,237.96,1,0,Urban,0,Phone,Discount,0,237.96,0.0,475.92,1.0,0.0,0.0,1
2,507.8,1,0,Urban,1,Multichannel,No Offer,1,507.8,0.0,1015.6,1.0,0.0,0.0,0
6,528.39,1,0,Surburban,1,Phone,Buy One Get One,0,528.39,0.0,3170.34,0.0,1.0,0.0,1
10,60.43,1,0,Urban,0,Phone,Buy One Get One,0,60.43,0.0,604.3,0.0,0.0,1.0,1
9,512.89,0,1,Urban,1,Multichannel,Buy One Get One,0,0.0,512.89,4616.01,0.0,0.0,1.0,1
9,91.82,0,1,Urban,1,Web,Discount,0,0.0,91.82,826.3799999999999,0.0,0.0,1.0,1
8,393.64,0,1,Surburban,1,Web,No Offer,1,0.0,393.64,3149.12,0.0,0.0,1.0,0
4,365.24,0,1,Urban,0,Phone,No Offer,0,0.0,365.24,1460.96,0.0,1.0,0.0,0
1,671.91,0,1,Surburban,1,Multichannel,Buy One Get One,0,0.0,671.91,671.91,1.0,0.0,0.0,1
11,192.11,0,1,Urban,0,Web,Buy One Get One,0,0.0,192.11,2113.21,0.0,0.0,1.0,1
7,120.07,0,1,Rural,1,Web,Buy One Get One,0,0.0,120.07,840.49,0.0,1.0,0.0,1
7,72.17,1,0,Urban,0,Web,Discount,0,72.17,0.0,505.19,0.0,1.0,0.0,1
5,126.44,1,0,Surburban,0,Phone,Discount,0,126.44,0.0,632.2,0.0,1.0,0.0,1
3,34.43,1,0,Urban,0,Phone,Buy One Get One,0,34.43,0.0,103.28999999999999,0.0,1.0,0.0,1
10,145.54,1,0,Rural,1,Web,Buy One Get One,0,145.54,0.0,1455.3999999999999,0.0,0.0,1.0,1
8,191.14,0,1,Rural,0,Phone,Discount,0,0.0,191.14,1529.12,0.0,0.0,1.0,1
1,29.99,1,0,Surburban,0,Web,No Offer,0,29.99,0.0,29.99,1.0,0.0,0.0,0
9,418.3,1,0,Surburban,1,Phone,No Offer,0,418.3,0.0,3764.7000000000003,0.0,0.0,1.0,0
10,634.17,0,1,Surburban,1,Phone,No Offer,0,0.0,634.17,6341.7,0.0,0.0,1.0,0
11,161.79,1,0,Urban,0,Web,Discount,0,161.79,0.0,1779.6899999999998,0.0,0.0,1.0,1
9,124.81,0,1,Urban,1,Phone,Discount,0,0.0,124.81,1123.29,0.0,0.0,1.0,1
12,171.14,1,0,Surburban,0,Web,Buy One Get One,0,171.14,0.0,2053.68,0.0,0.0,1.0,1
1,1198.46,1,0,Surburban,1,Multichannel,No Offer,0,1198.46,0.0,1198.46,1.0,0.0,0.0,0
6,148.34,1,0,Rural,1,Web,Discount,1,148.34,0.0,890.04,0.0,1.0,0.0,1
5,224.49,1,1,Surburban,1,Multichannel,Buy One Get One,0,224.49,224.49,1122.45,0.0,1.0,0.0,1
12,71.27,1,0,Rural,0,Web,No Offer,0,71.27,0.0,855.24,0.0,0.0,1.0,0
1,410.79,1,0,Rural,0,Multichannel,No Offer,1,410.79,0.0,410.79,1.0,0.0,0.0,0
12,79.38,1,0,Surburban,0,Web,No Offer,0,79.38,0.0,952.56,0.0,0.0,1.0,0
7,29.99,0,1,Urban,1,Phone,Discount,0,0.0,29.99,209.92999999999998,0.0,1.0,0.0,1
4,189.88,0,1,Surburban,0,Web,Discount,0,0.0,189.88,759.52,0.0,1.0,0.0,1
1,31.98,0,1,Urban,0,Phone,Discount,0,0.0,31.98,31.98,1.0,0.0,0.0,1
2,1007.24,1,1,Rural,1,Web,No Offer,0,1007.24,1007.24,2014.48,1.0,0.0,0.0,0
6,760.17,0,1,Surburban,1,Multichannel,No Offer,0,0.0,760.17,4561.0199999999995,0.0,1.0,0.0,0
4,78.94,0,1,Surburban,1,Web,No Offer,0,0.0,78.94,315.76,0.0,1.0,0.0,0
1,108.77,0,1,Rural,0,Web,Discount,0,0.0,108.77,108.77,1.0,0.0,0.0,1
9,37.84,0,1,Urban,1,Phone,Buy One Get One,0,0.0,37.84,340.56000000000006,0.0,0.0,1.0,1
9,393.98,1,0,Surburban,0,Web,Buy One Get One,0,393.98,0.0,3545.82,0.0,0.0,1.0,1
7,156.62,0,1,Urban,0,Phone,No Offer,0,0.0,156.62,1096.3400000000001,0.0,1.0,0.0,0
5,30.08,1,0,Surburban,0,Web,No Offer,0,30.08,0.0,150.39999999999998,0.0,1.0,0.0,0
9,164.28,0,1,Surburban,0,Phone,No Offer,0,0.0,164.28,1478.52,0.0,0.0,1.0,0
5,90.21,1,0,Rural,0,Phone,No Offer,0,90.21,0.0,451.04999999999995,0.0,1.0,0.0,0
11,269.56,0,1,Rural,0,Web,Buy One Get One,0,0.0,269.56,2965.16,0.0,0.0,1.0,1
1,40.18,0,1,Surburban,0,Phone,Buy One Get One,1,0.0,40.18,40.18,1.0,0.0,0.0,1
10,60.26,1,0,Urban,1,Phone,Discount,0,60.26,0.0,602.6,0.0,0.0,1.0,1
10,142.01,0,1,Surburban,1,Web,Buy One Get One,0,0.0,142.01,1420.1,0.0,0.0,1.0,1
10,305.06,1,0,Surburban,0,Phone,Discount,0,305.06,0.0,3050.6,0.0,0.0,1.0,1
1,254.69,1,1,Urban,0,Multichannel,No Offer,0,254.69,254.69,254.69,1.0,0.0,0.0,0
9,104.64,0,1,Urban,1,Web,No Offer,0,0.0,104.64,941.76,0.0,0.0,1.0,0
9,104.08,0,1,Urban,0,Phone,Buy One Get One,0,0.0,104.08,936.72,0.0,0.0,1.0,1
9,498.82,0,1,Rural,0,Phone,Buy One Get One,0,0.0,498.82,4489.38,0.0,0.0,1.0,1
11,29.99,0,1,Surburban,0,Phone,No Offer,0,0.0,29.99,329.89,0.0,0.0,1.0,0
9,29.99,1,0,Urban,1,Phone,Buy One Get One,0,29.99,0.0,269.90999999999997,0.0,0.0,1.0,1
1,630.19,1,1,Surburban,1,Phone,No Offer,1,630.19,630.19,630.19,1.0,0.0,0.0,0
12,88.38,0,1,Urban,0,Phone,Buy One Get One,0,0.0,88.38,1060.56,0.0,0.0,1.0,1
12,29.99,1,0,Surburban,1,Web,Buy One Get One,0,29.99,0.0,359.88,0.0,0.0,1.0,1
2,100.01,0,1,Surburban,1,Web,Discount,0,0.0,100.01,200.02,1.0,0.0,0.0,1
2,39.05,1,0,Surburban,0,Web,No Offer,0,39.05,0.0,78.1,1.0,0.0,0.0,0
1,412.4,0,1,Rural,0,Phone,Discount,0,0.0,412.4,412.4,1.0,0.0,0.0,1
1,152.18,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,152.18,152.18,1.0,0.0,0.0,1
9,74.28,1,0,Urban,0,Phone,No Offer,0,74.28,0.0,668.52,0.0,0.0,1.0,0
3,88.98,1,0,Rural,0,Web,No Offer,1,88.98,0.0,266.94,0.0,1.0,0.0,0
5,446.86,0,1,Urban,0,Phone,Discount,0,0.0,446.86,2234.3,0.0,1.0,0.0,1
5,852.28,1,0,Surburban,1,Phone,Discount,0,852.28,0.0,4261.4,0.0,1.0,0.0,1
3,63.1,0,1,Rural,1,Web,No Offer,0,0.0,63.1,189.3,0.0,1.0,0.0,0
7,327.06,0,1,Urban,1,Multichannel,No Offer,0,0.0,327.06,2289.42,0.0,1.0,0.0,0
9,103.69,0,1,Urban,0,Web,No Offer,0,0.0,103.69,933.21,0.0,0.0,1.0,0
10,29.99,1,0,Urban,1,Phone,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
11,29.99,0,1,Urban,1,Phone,Discount,0,0.0,29.99,329.89,0.0,0.0,1.0,1
4,37.75,0,1,Urban,0,Phone,Buy One Get One,1,0.0,37.75,151.0,0.0,1.0,0.0,1
12,29.99,1,0,Surburban,1,Web,No Offer,0,29.99,0.0,359.88,0.0,0.0,1.0,0
3,29.99,1,0,Surburban,1,Phone,Discount,0,29.99,0.0,89.97,0.0,1.0,0.0,1
2,537.77,0,1,Urban,1,Web,Buy One Get One,0,0.0,537.77,1075.54,1.0,0.0,0.0,1
10,554.84,0,1,Rural,1,Multichannel,Discount,0,0.0,554.84,5548.400000000001,0.0,0.0,1.0,1
1,29.99,0,1,Urban,1,Web,Buy One Get One,0,0.0,29.99,29.99,1.0,0.0,0.0,1
2,105.18,1,0,Urban,1,Web,No Offer,0,105.18,0.0,210.36,1.0,0.0,0.0,0
1,245.63,1,1,Urban,0,Phone,Discount,1,245.63,245.63,245.63,1.0,0.0,0.0,1
11,92.0,0,1,Rural,1,Web,Buy One Get One,0,0.0,92.0,1012.0,0.0,0.0,1.0,1
1,576.29,0,1,Rural,1,Phone,No Offer,0,0.0,576.29,576.29,1.0,0.0,0.0,0
6,244.53,0,1,Surburban,1,Web,Discount,0,0.0,244.53,1467.18,0.0,1.0,0.0,1
9,411.83,0,1,Rural,0,Multichannel,Buy One Get One,1,0.0,411.83,3706.47,0.0,0.0,1.0,1
8,63.73,1,0,Surburban,0,Web,No Offer,0,63.73,0.0,509.84,0.0,0.0,1.0,0
10,29.99,1,0,Urban,1,Web,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
2,352.13,0,1,Surburban,0,Web,Discount,0,0.0,352.13,704.26,1.0,0.0,0.0,1
11,39.38,0,1,Surburban,0,Phone,Buy One Get One,1,0.0,39.38,433.18,0.0,0.0,1.0,1
8,29.99,0,1,Surburban,0,Web,Buy One Get One,0,0.0,29.99,239.92,0.0,0.0,1.0,1
2,72.15,0,1,Rural,1,Web,Buy One Get One,0,0.0,72.15,144.3,1.0,0.0,0.0,1
4,614.13,1,1,Rural,1,Multichannel,No Offer,1,614.13,614.13,2456.52,0.0,1.0,0.0,0
10,29.99,1,0,Urban,1,Web,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
7,161.46,0,1,Surburban,1,Web,Buy One Get One,0,0.0,161.46,1130.22,0.0,1.0,0.0,1
6,144.07,0,1,Rural,0,Phone,No Offer,0,0.0,144.07,864.42,0.0,1.0,0.0,0
1,29.99,1,0,Urban,1,Phone,Discount,1,29.99,0.0,29.99,1.0,0.0,0.0,1
9,507.09,0,1,Rural,1,Web,Discount,0,0.0,507.09,4563.8099999999995,0.0,0.0,1.0,1
2,766.77,0,1,Urban,1,Phone,Buy One Get One,0,0.0,766.77,1533.54,1.0,0.0,0.0,1
3,1694.68,1,1,Rural,1,Multichannel,No Offer,1,1694.68,1694.68,5084.04,0.0,1.0,0.0,0
5,491.41,1,0,Urban,0,Web,No Offer,0,491.41,0.0,2457.05,0.0,1.0,0.0,0
1,278.72,1,0,Surburban,0,Web,Discount,0,278.72,0.0,278.72,1.0,0.0,0.0,1
6,44.33,0,1,Surburban,0,Phone,Discount,0,0.0,44.33,265.98,0.0,1.0,0.0,1
11,146.22,0,1,Surburban,1,Phone,Buy One Get One,0,0.0,146.22,1608.42,0.0,0.0,1.0,1
6,253.67,0,1,Rural,0,Phone,Discount,0,0.0,253.67,1522.02,0.0,1.0,0.0,1
4,551.47,1,0,Rural,1,Web,No Offer,0,551.47,0.0,2205.88,0.0,1.0,0.0,0
9,167.16,1,0,Rural,0,Web,Discount,1,167.16,0.0,1504.44,0.0,0.0,1.0,1
1,159.63,0,1,Surburban,1,Phone,Buy One Get One,1,0.0,159.63,159.63,1.0,0.0,0.0,1
7,143.72,0,1,Rural,0,Phone,No Offer,0,0.0,143.72,1006.04,0.0,1.0,0.0,0
11,406.63,0,1,Urban,0,Multichannel,Discount,1,0.0,406.63,4472.93,0.0,0.0,1.0,1
7,234.32,1,0,Surburban,0,Phone,No Offer,0,234.32,0.0,1640.24,0.0,1.0,0.0,0
4,102.21,1,0,Urban,1,Phone,No Offer,0,102.21,0.0,408.84,0.0,1.0,0.0,0
10,29.99,1,0,Urban,0,Web,Buy One Get One,0,29.99,0.0,299.9,0.0,0.0,1.0,1
10,35.15,1,0,Urban,1,Phone,Discount,0,35.15,0.0,351.5,0.0,0.0,1.0,1
1,219.73,0,1,Surburban,0,Multichannel,Buy One Get One,0,0.0,219.73,219.73,1.0,0.0,0.0,1
5,29.99,0,1,Surburban,1,Web,No Offer,0,0.0,29.99,149.95,0.0,1.0,0.0,0
10,37.31,0,1,Rural,1,Phone,Discount,0,0.0,37.31,373.1,0.0,0.0,1.0,1
4,165.2,0,1,Rural,0,Web,Buy One Get One,0,0.0,165.2,660.8,0.0,1.0,0.0,1
10,147.78,0,1,Rural,1,Phone,Buy One Get One,0,0.0,147.78,1477.8,0.0,0.0,1.0,1
11,143.3,0,1,Urban,0,Web,Discount,0,0.0,143.3,1576.3000000000002,0.0,0.0,1.0,1
5,30.1,0,1,Rural,0,Phone,Discount,0,0.0,30.1,150.5,0.0,1.0,0.0,1
7,316.41,1,1,Surburban,1,Multichannel,No Offer,1,316.41,316.41,2214.8700000000003,0.0,1.0,0.0,0
3,655.84,1,1,Surburban,1,Web,No Offer,0,655.84,655.84,1967.52,0.0,1.0,0.0,0
10,194.84,1,0,Rural,1,Web,Buy One Get One,0,194.84,0.0,1948.4,0.0,0.0,1.0,1
11,406.69,1,1,Urban,0,Phone,Discount,0,406.69,406.69,4473.59,0.0,0.0,1.0,1
12,275.21,1,0,Surburban,0,Phone,No Offer,0,275.21,0.0,3302.5199999999995,0.0,0.0,1.0,0
2,443.5,1,0,Urban,1,Multichannel,Discount,1,443.5,0.0,887.0,1.0,0.0,0.0,1
2,211.12,0,1,Surburban,0,Phone,Discount,0,0.0,211.12,422.24,1.0,0.0,0.0,1
10,53.36,1,0,Urban,1,Phone,Discount,0,53.36,0.0,533.6,0.0,0.0,1.0,1
3,542.46,0,1,Rural,1,Multichannel,Buy One Get One,0,0.0,542.46,1627.38,0.0,1.0,0.0,1
